GALname GALID Morphology RAgalaxy DECgalaxy z SN Type RASN DECSN Sep Sample Comments
NGC2906 275 Scd? 09:32:06.22 +08:26:30.4 0.007138 2005ip IIn 09:32:06.42 +08:26:44.4 14.3 1 ""
NGC2916 277 SA(rs)b? 09:34:57.60 +21:42:19.0 0.012442 1998ar II 09:34:58.86 +21:42:57.5 42.3 1 ""
NGC3057 312 SB(s)dm 10:05:39.36 +80:17:08.5 0.005084 1997cx II 10:05:37.43 +80:17:27.6 19.7 1 ""
UGC05520 320 Scd? 10:15:00.42 +65:08:23.6 0.011058 2000L II 10:15:01.82 +65:08:03.5 22.0 1 ""
UGC06036 364 Sab 10:55:55.26 +36:51:41.5 0.021688 2016aqw II 10:55:53.83 +36:51:48.0 18.4 1 "SN/galaxy included in CALIFA DR3 but not present neither in G14 nor G16"
UGC06036 364 Sab 10:55:55.26 +36:51:41.5 0.021688 2009az IIP 10:55:56.22 +36:51:42.9 11.6 1 ""
NGC3687 414 (R')SAB(r)bc? 11:28:00.61 +29:30:39.8 0.008362 1989A Ia 11:27:58.07 +29:30:34.5 33.6 1 ""
NGC3811 436 SB(r)cd? 11:41:16.63 +47:41:26.9 0.010357 1969C Ia 11:41:16.99 +47:41:39.8 13.4 1 ""
NGC3811 436 SB(r)cd? 11:41:16.63 +47:41:26.9 0.010357 1971K II 11:41:13.21 +47:41:16.9 36.0 1 ""
NGC4210 518 SB(r)b 12:15:15.83 +65:59:07.2 0.009113 2002ho Ic 12:15:17.97 +65:58:55.1 17.8 1 ""
NGC4644 569 SBb? 12:42:42.66 +55:08:43.8 0.016501 2007cm IIn 12:42:45.18 +55:08:57.1 25.4 1 ""
NGC4874 592 cD0 12:59:35.71 +27:57:33.4 0.023937 1981G Ia 12:59:36.67 +27:57:48.3 19.6 1 ""
NGC4961 603 SB(s)cd 13:05:47.57 +27:44:02.9 0.008456 2005az Ic 13:05:46.97 +27:44:08.4 9.7 1 ""
NGC5000 608 SB(rs)bc 13:09:47.49 +28:54:25.0 0.018706 2003el Ic 13:09:46.20 +28:54:21.6 17.3 1 ""
NGC5056 614 Scd? 13:16:12.32 +30:57:01.2 0.018653 2005au II 13:16:12.42 +30:56:40.5 20.7 1 ""
NGC5157 624 SAB(r)a 13:27:16.85 +32:01:50.6 0.024424 1995L Ia 13:27:18.34 +32:01:52.7 19.1 1 ""
NGC5378 676 (R')SB(r)a 13:56:51.02 +37:47:50.1 0.010147 1991ak Ia 13:56:48.60 +37:47:31.5 34.2 1 ""
NGC5406 684 SAB(rs)bc 14:00:20.12 +38:54:55.5 0.017352 PSNJ14002117 II 14:00:21.17 +38:54:51.7 12.8 1 ""
NGC5425 685 Sd 14:00:47.67 +48:26:37.9 0.006918 2011ck IIP 14:00:46.24 +48:26:45.4 16.1 1 ""
NGC5421 686 SB? 14:01:41.38 +33:49:36.6 0.026315 2012T Ia-pec 14:01:41.69 +33:49:33.9 4.7 1 ""
NGC5480 707 SA(s)c? 14:06:21.58 +50:43:30.4 0.006191 1988L Ib 14:06:21.97 +50:43:40.4 10.7 1 ""
NGC5557 729 E1 14:18:25.72 +36:29:36.8 0.010737 1996aa Ia 14:18:25.41 +36:29:38.7 4.2 1 ""
UGC09165 731 S? 14:18:47.78 +24:56:25.9 0.017565 2016itd Ia 14:18:47.74 +24:56:27.0 2.1 1 ""
NGC5559 732 SBb 14:19:12.78 +24:47:55.4 0.017232 2001co Ibc-pec 14:19:11.80 +24:47:42.9 18.3 1 ""
NGC5587 736 S0/a 14:22:10.71 +13:55:05.0 0.007682 2006dy Ia 14:22:11.45 +13:55:14.2 14.2 1 ""
NGC5611 739 S0 14:24:04.78 +33:02:50.6 0.006721 2012ei Ia 14:24:05.71 +33:02:56.5 13.1 1 ""
NGC5630 749 Sdm? 14:27:36.61 +41:15:27.9 0.008856 2006am IIn 14:27:37.24 +41:15:35.4 10.3 1 ""
NGC5630 749 Sdm? 14:27:36.61 +41:15:27.9 0.008856 2005dp II 14:27:36.62 +41:15:15.0 12.9 1 ""
NGC5682 758 SB(s)b 14:34:44.98 +48:40:12.9 0.007581 2005ci II 14:34:44.88 +48:40:19.8 7.0 1 ""
NGC5732 768 Sbc 14:40:38.95 +38:38:16.1 0.012502 ASASSN-14fj II 14:40:39.50 +38:37:58.5 18.7 1 ""
NGC5735 771 SB(rs)bc 14:42:33.24 +28:43:35.2 0.012482 2006qp IIb 14:42:30.65 +28:43:25.9 35.3 1 ""
NGC5772 777 SA(r)b? 14:51:38.88 +40:35:57.0 0.016345 2002ee IIP 14:51:40.55 +40:36:37.3 44.6 1 ""
NGC5772 777 SA(r)b? 14:51:38.88 +40:35:57.0 0.016345 2015bb Ibc 14:51:37.00 +40:35:51.0 22.2 1 "SN/galaxy included in CALIFA DR3 but not present neither in G14 nor G16"
NGC5829 784 SA(s)c 15:02:42.01 +23:20:01.0 0.018797 2008B IIn 15:02:43.65 +23:20:07.8 23.6 1 ""
NGC5888 789 SB(s)bc 15:13:07.37 +41:15:52.7 0.029123 2007Q II 15:13:08.07 +41:15:40.1 14.9 1 ""
NGC5888 789 SB(s)bc 15:13:07.37 +41:15:52.7 0.029123 2010fv II 15:13:06.52 +41:16:05.5 16.0 1 ""
UGC09842 792 SBb 15:25:05.80 +37:57:36.6 0.029726 2012as IIn 15:25:08.52 +37:57:49.4 34.6 1 ""
NGC5980 810 S 15:41:30.40 +15:47:15.6 0.013649 2004ci II 15:41:29.83 +15:47:13.1 8.6 1 ""
UGC10097 814 S0 15:55:43.25 +47:52:02.2 0.019887 2004di Ia 15:55:41.02 +47:51:49.1 26.0 1 ""
NGC6063 823 Scd? 16:07:12.99 +07:58:44.4 0.0095 1999ac Ia-91T 16:07:15.01 +07:58:20.4 38.4 1 ""
UGC10123 818 Sab 15:59:02.96 +51:18:16.8 0.012575 2014cv IIP 15:59:03.59 +51:18:18.0 6.0 1 ""
UGC10331 828 "S pec" 16:17:21.13 +59:19:12.4 0.014914 2011jg IIb 16:17:18.87 +59:19:29.8 24.5 1 ""
NGC6146 832 E? 16:25:10.36 +40:53:34.3 0.02942 2009fl Ia 16:25:10.10 +40:53:20.8 13.8 1 ""
NGC6166 839 "cD2 pec" 16:28:38.48 +39:33:05.6 0.030354 PS15aot Ia-91bg 16:28:38.36 +39:32:55.2 10.5 1 ""
NGC6173 840 E 16:29:44.90 +40:48:41.8 0.0293 2009fv Ia 16:29:44.22 +40:48:41.8 7.7 1 ""
NGC6186 842 (R')SB(s)a 16:34:25.48 +21:32:27.2 0.009797 2011gd Ib 16:34:25.67 +21:32:28.4 2.9 1 ""
NGC7047 876 SAB(r)b? 21:16:27.65 -00:49:35.4 0.019383 PTF09cjq II 21:16:28.48 -00:49:39.7 13.3 1 ""
MCG-01-54-016 878 S? 21:25:59.82 -03:48:35.6 0.009773 2001ch Ic 21:25:59.19 -03:48:46.8 14.6 1 ""
NGC7311 886 Sab 22:34:06.71 +05:34:11.6 0.01512 2005kc Ia 22:34:07.34 +05:34:06.3 10.8 1 ""
NGC7321 887 SB(r)b 22:36:28.02 +21:37:18.5 0.023833 2008gj Ic 22:36:28.57 +21:37:55.3 37.6 1 ""
NGC7321 887 SB(r)b 22:36:28.02 +21:37:18.5 0.023833 2013di Ia 22:36:27.46 +21:36:54.3 25.4 1 ""
NGC7364 889 "S0/a pec?" 22:44:24.37 -00:09:43.5 0.016228 2009fk Ia 22:44:23.90 -00:09:42.0 7.2 1 ""
NGC7364 889 "S0/a pec?" 22:44:24.37 -00:09:43.5 0.016228 2006lc Ib 22:44:24.48 -00:09:53.5 10.1 1 ""
NGC7364 889 "S0/a pec?" 22:44:24.37 -00:09:43.5 0.016228 2011im Ia 22:44:25.22 -00:10:02.0 22.5 1 ""
NGC7619 911 E 23:20:14.53 +08:12:22.5 0.012549 1970J Ia 23:20:12.78 +08:11:56.2 37.0 1 ""
NGC7653 915 Sb 23:24:49.36 +15:16:32.1 0.014227 2015bf IIn 23:24:49.03 +15:16:52.0 20.5 1 "SN/galaxy included in CALIFA DR3 but not present neither in G14 nor G16"
NGC7691 920 SAB(rs)bc 23:32:24.42 +15:50:52.2 0.013479 2014az IIP 23:32:22.84 +15:51:10.6 29.3 1 ""
UGC04455 1005 SB(r)a 08:31:32.88 -01:11:51.8 0.030908 2007bd Ia 08:31:33.28 -01:11:58.0 8.6 1 ""
NGC3655 1025 SA(s)c? 11:22:54.62 +16:35:24.1 0.004913 2002ji Ib 11:22:53.15 +16:35:10.0 25.4 1 ""
NGC3913 1032 (R')SA(rs)d? 11:50:38.94 +55:21:13.9 0.003182 1963J Ia 11:50:38.29 +55:21:01.2 13.9 1 ""
MCG-02-02-086 3001 "SB0\^0(r) pec?" 00:41:50.47 -09:18:11.3 0.055672 2003ic Ia 00:41:50.23 -09:18:19.0 8.5 1 ""
NGC2691 3018 Sa? 08:54:46.34 +39:32:19.2 0.013279 2011hr Ia-91T 08:54:46.03 +39:32:16.1 4.7 1 ""
UGC06517 3025 Sbc 11:32:02.40 +36:41:52.8 0.008309 2006lv Ib 11:32:03.30 +36:42:03.6 15.3 1 ""
UGC09356 3032 S? 14:32:53.53 +11:35:42.2 0.007419 2011cj IIP 14:32:53.81 +11:35:49.3 8.2 1 ""
PGC11179 9007 S0 02:57:33.67 +05:58:36.9 0.022886 2016hgw Ia 02:57:34.02 +05:58:41.3 6.8 1 "SN/galaxy included in CALIFA DR3 but not present neither in G14 nor G16"
UGC01635 0 SAbc 02:08:27.74 +06:23:41.7 0.011755 2003G IIn 02:08:28.13 +06:23:51.9 11.7 2 ""
UGC03555 0 SAB(rs)bc 06:49:59.68 +25:38:03.8 0.016128 2004ge Ic 06:50:00.13 +25:38:02.0 6.3 2 ""
UGC03555 0 SAB(rs)bc 06:49:59.68 +25:38:03.8 0.016128 1999ed II 06:50:00.95 +25:37:54.5 19.5 2 ""
2MFGC13321 0 Sb 16:37:29.27 +40:52:47.9 0.026145 2002aw Ia 16:37:29.06 +40:52:50.3 3.4 2 ""
NGC6786 0 SB? 19:10:53.91 +73:24:36.6 0.025017 2004ed II 19:10:53.62 +73:24:27.6 9.1 2 ""
NGC7253 0 "interacting double" 22:19:28.90 +29:23:30.0 0.014987 2002jg Ia 22:19:28.80 +29:23:04.5 25.5 2 ""
NGC7469 0 (R')SAB(rs)a 23:03:15.62 +08:52:26.4 0.016317 2008ec Ia 23:03:16.56 +08:52:19.8 15.4 2 ""
NGC7469 0 (R')SAB(rs)a 23:03:15.62 +08:52:26.4 0.016317 2000ft II 23:03:15.50 +08:52:26.2 1.9 2 ""
NGC6946 0 SAB(rs)cd 20:34:52.32 +60:09:14.1 0.000133 1948B IIP 20:35:21.50 +60:10:16.6 226.6 2 "This is a simple pointing far from the host"
ARP143 0 pair 07:46:53.97 +39:01:06.3 0.012951 2016bam II 07:46:52.72 +39:01:21.8 15.8 2 ""
NGC4774 0 RING? 12:53:06.20 +36:49:22.0 0.027731 2013he IIP 12:53:06.27 +36:49:00.1 21.9 2 ""
NGC5410 0 SB? 14:00:54.61 +40:59:19.0 0.012469 2014as Ic 14:00:54.49 +40:58:59.6 19.4 2 ""
UGC01087 0 SA(rs)c 01:31:26.60 +14:16:39.0 0.01496 1999dk Ia 01:31:26.92 +14:17:05.7 27.1 2 ""
UGC04036 0 SAB(r)b? 07:51:54.74 +73:00:56.5 0.011575 1995E Ia 07:51:56.75 +73:00:34.6 23.6 2 ""
UGC04107 0 SA(rs)c 07:57:01.87 +49:34:02.5 0.011688 1997ef Ic-BL 07:57:02.82 +49:33:40.2 24.1 2 ""
UGC05100 0 SB(s)b 09:34:38.64 +05:50:29.2 0.018393 2002au IIb 09:34:37.60 +05:50:15.7 20.6 2 ""
NGC3982 0 SAB(r)b? 11:56:28.13 +55:07:30.9 0.003699 1998aq Ia 11:56:25.87 +55:07:43.2 23.0 3 ""
NGC5668 0 SA(s)d 14:33:24.34 +04:27:01.6 0.00526 1954B Ia 14:33:24.09 +04:26:41.6 20.3 3 ""
NGC0105 0 pair 00:25:16.60 +12:53:22.0 0.017646 2007A Ia 00:25:16.66 +12:53:12.5 9.5 4 ""
NGC0105 0 pair 00:25:16.60 +12:53:22.0 0.017646 1997cw Ia-91T 00:25:17.27 +12:53:06.2 18.6 4 ""
CGCG207-042 0 SBbc 08:11:43.48 +41:33:17.9 0.031592 2006te Ia 08:11:42.99 +41:33:16.8 5.6 4 ""
UGC05129 0 Sa 09:37:58.00 +25:29:41.2 0.013539 2001fe Ia 09:37:57.10 +25:29:41.3 12.2 4 ""
NGC0628 0 SA(s)c 01:36:41.75 +15:47:01.2 0.002192 2003gd IIP 01:36:42.65 +15:44:19.9 161.8 5 ""
NGC0628 0 SA(s)c 01:36:41.75 +15:47:01.2 0.002192 2013ej IIP 01:36:48.16 +15:45:31.0 129.2 5 ""
NGC1058 0 SA(rs)c 02:43:30.00 +37:20:28.8 0.001728 2007gr Ic 02:43:27.97 +37:20:44.7 29.0 5 ""
NGC1058 0 SA(rs)c 02:43:30.00 +37:20:28.8 0.001728 1961V II 02:43:36.46 +37:20:43.2 78.4 5 ""
NGC1637 0 SAB(rs)c 04:41:28.18 -02:51:28.7 0.002392 1999em IIP 04:41:27.16 -02:51:45.8 22.9 5 ""
NGC3184 0 SAB(rs)cd 10:18:16.86 +41:25:26.6 0.001975 1999gi IIP 10:18:16.20 +41:26:28.6 62.4 5 ""
NGC3184 0 SAB(rs)cd 10:18:16.86 +41:25:26.6 0.001975 2016bkv II 10:18:19.31 +41:25:39.3 30.3 5 ""
NGC3310 0 "SAB(r)bc pec" 10:38:45.86 +53:30:12.2 0.003312 1991N Ic 10:38:46.38 +53:30:05.0 8.6 5 ""
NGC6643 0 SA(rs)c 18:19:46.41 +74:34:06.1 0.00495 2008ij IIP 18:19:51.81 +74:33:54.9 24.3 5 ""
NGC6643 0 SA(rs)c 18:19:46.41 +74:34:06.1 0.00495 2008bo IIb 18:19:54.34 +74:34:20.9 34.9 5 ""
NGC7319 0 "SB(s)bc pec" 22:36:03.55 +33:58:32.6 0.022507 1971P I 22:36:05.83 +33:58:15.9 32.9 5 ""
NGC7771 0 SB(s)a 23:51:24.81 +20:06:42.3 0.014267 2003hg IIP 23:51:24.13 +20:06:38.3 10.4 5 ""
NGC7803 5001 S0/a 00:01:19.97 +13:06:40.5 0.017899 2007kj Ib 00:01:19.58 +13:06:30.6 11.4 6 ""
MCG+07-05-39 5002 SA:b: 02:20:35.01 +41:34:26.6 0.021658 2004eu Ic 02:20:34.86 +41:34:18.5 8.3 6 ""
UGC02175 5003 SAB(s)bc 02:42:16.50 +42:23:35.5 0.014196 2009iz Ib 02:42:15.41 +42:23:50.1 18.9 6 ""
PGC0010652 5004 Sb 02:48:52.96 +53:02:14.8 0.01652 2006ab Ic 02:48:53.92 +53:02:20.8 10.5 6 ""
UGC02308 5005 "multiple system" 02:50:12.23 +47:03:16.2 0.027576 2006eh IIn 02:50:11.95 +47:03:20.5 5.2 6 ""
UGC02308 5005 "multiple system" 02:50:12.23 +47:03:16.2 0.027576 2009iq IIP 02:50:11.61 +47:03:07.0 11.2 6 ""
NGC1590 5006 pec 04:31:10.22 +07:37:51.2 0.012999 2007rz Ic 04:31:10.84 +07:37:51.5 9.2 6 "Already included in the CALIFA DR3"
UGC03552 5007 SBcd? 06:49:51.32 +28:22:15.8 0.016228 2010iz IIP 06:49:50.94 +28:22:22.1 8.1 6 "Already included in the CALIFA DR3"
UGC02836 5008 S0\^-? 03:43:56.88 +39:17:42.6 0.016702 2001I IIn 03:43:57.28 +39:17:39.4 5.6 6 ""
UGC02836 5008 S0\^-? 03:43:56.88 +39:17:42.6 0.016702 2003ih Ibc 03:43:57.72 +39:17:43.9 9.8 6 ""
UGC02836 5008 S0\^-? 03:43:56.88 +39:17:42.6 0.016702 PS15dov II 03:43:57.36 +39:17:43.7 5.7 6 ""
NGC2526 5009 S? 08:06:58.63 +08:00:14.2 0.015354 2000fn Ib 08:06:57.79 +08:00:19.3 13.5 6 "Already included in the CALIFA DR3"
UGC02931 5011 SA(s)c 04:02:18.54 +25:49:00.1 0.01917 2007ah IIP 04:02:18.50 +25:49:06.8 6.7 6 ""
PGC0014370 5012 "SB(s)c: pec" 04:03:16.79 +71:43:13.3 0.01504 2005kd IIn 04:03:16.92 +71:43:18.8 5.5 6 ""
IC0391 5013 SA(s)c 04:57:21.13 +78:11:19.8 0.00519 2001B Ib 04:57:19.24 +78:11:16.5 6.7 6 ""
UGC03312 5014 S 05:28:40.40 +22:06:49.0 0.01897 2009je Ic 05:28:40.07 +22:06:46.4 5.3 6 ""
MCG+08-10-07 5015 S 05:28:44.74 +49:53:00.3 0.023223 2003as IIn 05:28:45.81 +49:52:59.1 10.4 6 ""
MCG+11-08-25 5016 S? 06:15:49.15 +66:50:21.2 0.013599 2013ha IIn 06:15:49.85 +66:50:19.4 4.5 6 ""
IC2481 5017 S? 09:27:28.81 +03:55:46.6 0.017752 2003I Ib 09:27:29.48 +03:55:45.6 10.1 6 "Already included in the CALIFA DR3"
UGC03513 5018 Scd? 06:42:51.77 +41:25:15.0 0.024544 1998fa IIb 06:42:51.51 +41:25:18.9 4.9 6 ""
UGC05392 5021 Scd? 10:01:35.77 +21:36:27.0 0.020711 2007ag Ib 10:01:35.99 +21:36:42.0 15.3 6 "Already included in the CALIFA DR3"
UGC03843 5022 Scd? 07:25:43.80 +20:06:08.0 0.017589 2011jk IIP 07:25:43.05 +20:06:21.7 17.3 6 ""
NGC2431 5023 (R')SB(s)a? 07:45:13.39 +53:04:30.4 0.018943 2011bh Ic 07:45:13.62 +53:04:10.7 19.8 6 ""
MCG+08-19-17 5024 Compact 10:18:57.99 +46:27:14.7 0.029963 2003ds Ic 10:18:58.35 +46:27:15.5 3.8 6 "Already included in the CALIFA DR3"
NGC3323 5025 SB? 10:39:39.04 +25:19:21.9 0.017225 2004bs Ib 10:39:39.30 +25:19:19.9 4.1 6 "Already included in the CALIFA DR3"
NGC3323 5025 SB? 10:39:39.04 +25:19:21.9 0.017225 2005kk II 10:39:40.02 +25:19:25.1 13.7 6 "Already included in the CALIFA DR3"
UGC04310 5028 SA(s)m 08:17:15.70 +01:12:22.0 0.014527 2007ay IIb 08:17:14.85 +01:12:06.9 19.8 6 ""
IC2373 5029 Scd? 08:26:48.98 +20:21:53.4 0.025094 2011cl IIP 08:26:49.16 +20:22:31.8 38.5 6 ""
UGC04423 5030 Sd 08:30:53.32 +74:41:14.9 0.011701 2009B IIP 08:30:51.47 +74:41:08.1 10.0 6 ""
IC0701 5031 "SB(rs)dm pec" 11:31:00.68 +20:28:08.2 0.020488 2013gl Ib 11:31:00.48 +20:28:10.3 3.5 6 "Already included in the CALIFA DR3"
IC0701 5031 "SB(rs)dm pec" 11:31:00.68 +20:28:08.2 0.020488 2004gj IIb 11:30:59.63 +20:28:06.8 14.8 6 "Already included in the CALIFA DR3"
UGC04981 5032 Sb 09:24:01.98 +68:33:44.7 0.013236 2012gn IIP 09:24:01.76 +68:33:43.3 1.8 6 ""
PGC0213858 5033 "" 11:34:37.02 +54:53:28.8 0.019326 2013cf IIP 11:34:36.49 +54:53:24.4 6.3 6 "Already included in the CALIFA DR3"
PGC0035860 5034 "" 11:35:51.23 +34:16:55.1 0.021081 2013ce IIP 11:35:50.80 +34:17:02.7 9.3 6 "Already included in the CALIFA DR3"
NGC2926 5035 S? 09:37:31.01 +32:50:29.1 0.01455 2012C Ic 09:37:30.48 +32:50:31.5 7.1 6 ""
UGC05695 5037 S? 10:29:46.79 +13:01:05.4 0.009807 1994N IIP 10:29:46.82 +13:01:13.7 8.3 6 ""
UGC05695 5037 S? 10:29:46.79 +13:01:05.4 0.009807 1993N IIn 10:29:46.22 +13:01:13.8 11.8 6 ""
MCG+05-30-111 5038 S 12:52:16.21 +27:31:59.2 0.018406 2005la IIb 12:52:15.68 +27:31:52.5 9.7 6 ""
NGC4384 5039 Sa 12:25:11.98 +54:30:22.4 0.008382 2000de Ib 12:25:12.17 +54:30:28.7 6.5 6 "Already included in the CALIFA DR3"
UGC11162 5040 S 18:13:00.78 +29:41:43.8 0.015424 2005bz IIP 18:13:01.73 +29:41:51.5 14.6 6 ""
PGC063016 5041 S 19:17:17.04 +33:25:31.0 0.014934 2012dx Ib 19:17:17.35 +33:25:48.7 18.1 6 ""
IC3918 5042 Sc 12:56:53.54 +22:22:25.0 0.021778 2007bz Ia 12:56:53.77 +22:22:22.1 4.3 6 "Already included in the CALIFA DR3"
IC3918 5042 Sc 12:56:53.54 +22:22:25.0 0.021778 2011bm Ic 12:56:53.89 +22:22:28.2 5.8 6 "Already included in the CALIFA DR3"
PGC067911 5043 S? 22:02:44.04 +31:41:44.6 0.015894 2011it Ic 22:02:44.45 +31:41:49.1 6.9 6 ""
UGC11922 5044 Sc 22:08:54.21 +40:20:57.7 0.02419 2001fy II 22:08:54.03 +40:20:50.3 7.7 6 ""
MCG+08-01-03 5045 "" 23:52:11.42 +47:23:43.6 0.017669 2010dr IIL 23:52:13.04 +47:23:42.5 16.5 6 ""
NGC2765 5046 S0 09:07:36.64 +03:23:34.5 0.012549 ASASSN-13dd Ia 09:07:36.82 +03:23:38.7 5.0 7 ""
2MASXJ09591230 5048 S0 09:59:12.30 -09:00:09.6 0.03337 LSQ12hzj Ia 09:59:12.43 -09:00:08.3 2.3 7 ""
